Codigo;Categoria;Nombre_Repuesto;Descripcion;Marcas_Compatibles;Modelos_Compatibles;Destacado;Etiqueta;Estado
rodamiento-empuje;Embrague & Transmisión;Rodamiento de Empuje / Collarín Hidráulico;Rodamiento mecánico blindado y collarines concéntricos hidráulicos (CSC) con sellos resistentes a líquido de freno DOT 4.;TODAS;TODOS;NO;;Activo
cruceta-cardan;Embrague & Transmisión;Cruceta de Cardán y Transmisión;Crucetas de cardán con rodamientos de agujas templados y grasera de lubricación para aplicaciones 4x4 y carga severa.;TODAS;TODOS;NO;;Activo
pastillas-freno;Frenos;Pastillas de Freno Cerámicas Delanteras;Pastillas formuladas con compuesto cerámico semimetálico de bajo polvo, sin ruidos molestos y excelente frenada en frío y caliente.;TODAS;TODOS;SI;Cerámica;Activo
discos-freno;Frenos;Discos de Freno Ventilados;Discos ventilados delanteros de fundición gris con aleación de alto carbono que previene deformaciones por sobrecalentamiento.;TODAS;TODOS;SI;Seguridad;Activo
bomba-freno;Frenos;Bombas de Freno;Cilindro maestro de freno de doble circuito hidráulico con depósito integrado y pistones de aluminio anodizado.;TODAS;TODOS;NO;;Activo
balatas-freno;Frenos;Balatas de Freno;Juegos de zapatas / balatas de freno traseras vulcanizadas con coeficiente de fricción estable y alta resistencia al fading térmico.;TODAS;TODOS;NO;;Activo
tambor-freno;Frenos;Tambores de Freno;Tambores traseros de fundición gris balanceados dinámicamente con aletas de refrigeración perimetral.;TODAS;TODOS;NO;;Activo
cilindro-freno;Frenos;Cilindro de Rueda / Freno Trasero;Cilindros de rueda traseros con pistones pulidos y copelas de goma EPDM resistentes a altas presiones y líquido DOT 4.;TODAS;TODOS;NO;;Activo
opticos-focos;Carrocería & Eléctrico;Ópticos y Focos;Faros delanteros principales con lente de policarbonato con tratamiento anti-rayaduras y filtro UV, focos traseros LED y neblineros.;TODAS;TODOS;NO;Iluminación;Activo
ampolletas;Carrocería & Eléctrico;Kit de Ampolletas Halógenas / LED;Kits de ampolletas H4, H7, H11 en tecnología halógena de visión nocturna mejorada y bombillos LED Canbus de alta luminosidad.;TODAS;TODOS;NO;;Activo
alternador;Carrocería & Eléctrico;Alternador de Alto Amperaje;Alternadores de 110A a 150A con regulador electrónico incorporado y diodos reforzados para soportar accesorios y winches.;TODAS;TODOS;NO;;Activo
motor-partida;Carrocería & Eléctrico;Motor de Partida / Arranque Reforzado;Motores de arranque con sistema de reducción planetaria de alto torque para arranques rápidos en frío extremo del sur de Chile.;TODAS;TODOS;NO;;Activo
sensor-abs;Carrocería & Eléctrico;Sensor de Velocidad ABS;Sensores inductivos y de efecto Hall para rueda delantera y trasera con conector sellado resistente al agua y barro.;TODAS;TODOS;NO;;Activo
