Marca,Modelo,Anos_Compatibilidad,Tipo_Vehiculo,Categoria,Repuesto,Codigo_Repuesto,Descripcion_Repuesto,Estado_Disponibilidad
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Frenos,Pastillas de Freno Cerámicas Delanteras,pastillas-freno,Pastillas de formulación cerámica de bajo polvo y alto coeficiente de fricción.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Frenos,Discos de Freno Ventilados,discos-freno,Discos de freno ventilados con aleación de alto contenido de carbono.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Frenos,Bombas de Freno,bomba-freno,Cilindro maestro de freno de doble circuito con depósito de líquido.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Frenos,Balatas de Freno,balatas-freno,Juegos de zapatas de freno traseras con forro de alta resistencia al calor.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Frenos,Tambores de Freno,tambor-freno,Tambores traseros de fundición gris equilibrados dinámicamente.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Frenos,Cilindro de Rueda / Freno Trasero,cilindro-freno,Cilindros receptores traseros con pistones de aluminio anodizado.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Carrocería & Eléctrico,Ópticos y Focos,opticos-focos,Faros delanteros ópticos principales y focos traseros de alta durabilidad.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Carrocería & Eléctrico,Kit de Ampolletas Halógenas / LED,ampolletas,"Ampolletas H4, H7, H11 en tecnología halógena de alto rendimiento y LED Canbus.",Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Carrocería & Eléctrico,Alternador de Alto Amperaje,alternador,Alternadores de 110A a 150A con regulador electrónico incorporado.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Carrocería & Eléctrico,Motor de Partida / Arranque Reforzado,motor-partida,Motores de arranque con sistema de reducción planetaria de alto torque.,Disponible
Maxus,T60,2017-2024,Pickup 4x4 / 4x2,Carrocería & Eléctrico,Sensor de Velocidad ABS,sensor-abs,Sensores de velocidad de rueda ABS de alta precisión magnética.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Motor & Distribución,Kit de Distribución Completo,kit-distribucion,"Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía.",Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Motor & Distribución,Bomba de Agua Refrigeración,bomba-agua,Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Motor & Distribución,Empaquetaduras de Motor,empaquetaduras,"Juegos de empaquetaduras de culata multilámina, múltiple de admisión/escape y tapa de válvulas.",Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Motor & Distribución,Correa de Accesorios Poly-V,correa-accesorios,"Correas Poly-V estriadas de alta durabilidad para alternador, bomba de dirección y compresor A/C.",Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Motor & Distribución,Tensor de Correa Automático,tensor-correa,Tensor automático con amortiguación hidráulica interna y polea termoplástica.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Motor & Distribución,Polea de Guía y Desvío,polea-guia,Poleas locas y de desvío con rodamientos sellados de doble hilera de bolas.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Filtro de Aceite Blindado,filtro-aceite,Filtro de aceite con válvula antidrenaje y papel filtrante de microfibra sintética.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Filtro de Aire Motor,filtro-aire,Filtro de aire con plisado de alta densidad para máxima retención de partículas.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Filtro de Petróleo / Diésel,filtro-petroleo,Filtro de combustible con separador de agua para sistemas common rail.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Filtro de Polen / Habitáculo,filtro-habitaculo,Filtro de polen con capa de carbón activado antibacteriano.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Aceites de Motor 5W-30 / 5W-40,aceite-5w30,Aceite de motor 100% sintético con especificación ACEA C2/C3 para motores con DPF.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Refrigerantes 50/50 OAT,refrigerantes,Líquido refrigerante / anticongelante de larga duración orgánico premezclado.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Aditivos para Diésel y Motor,aditivos,"Tratamientos para sistema de inyección diésel, limpiadores y mejoradores de cetano.",Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Aceite de Transmisión 75W-90 GL-5,aceite-transmision,"Aceite sintético para transmisiones manuales, diferenciales y cajas de transferencia.",Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Filtros & Lubricantes,Desengrasantes Mecánicos,desengrasante,Desengrasante de alta potencia para limpieza de motor y componentes mecánicos.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Suspensión & Dirección,Bandeja de Suspensión Delantera,bandeja-suspension,Bandejas de suspensión superior e inferior con bujes vulcanizados y rótula prensada.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Suspensión & Dirección,Rótulas de Suspensión Reforzadas,rotula,Rótulas de acero forjado con guardapolvo de poliuretano.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Suspensión & Dirección,Terminales y Axiales de Dirección,terminal-direccion,Terminales exteriores e interiores con rosca de precisión milimétrica.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Suspensión & Dirección,Cremallera de Dirección Hidráulica,cremallera,Cremalleras de dirección hidráulica y electroasistida completas.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Suspensión & Dirección,Amortiguadores Delanteros y Traseros,amortiguador,Amortiguadores a gas nitrógeno bitubo de respuesta progresiva.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Embrague & Transmisión,Kit de Embrague Reforzado,kit-embrague,Kit de embrague completo con prensa de diafragma templado y disco orgánico.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Embrague & Transmisión,Disco de Embrague de Repuesto,disco-embrague,Disco de embrague con forro de alta fricción y resortes amortiguadores dobles.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Embrague & Transmisión,Rodamiento de Empuje / Collarín Hidráulico,rodamiento-empuje,Rodamiento de empuje mecánico y collarines hidráulicos concéntricos.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Embrague & Transmisión,Cruceta de Cardán y Transmisión,cruceta-cardan,Crucetas de cardán con grasera de engrase y sellos laberinto de triple labio.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Frenos,Pastillas de Freno Cerámicas Delanteras,pastillas-freno,Pastillas de formulación cerámica de bajo polvo y alto coeficiente de fricción.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Frenos,Discos de Freno Ventilados,discos-freno,Discos de freno ventilados con aleación de alto contenido de carbono.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Frenos,Bombas de Freno,bomba-freno,Cilindro maestro de freno de doble circuito con depósito de líquido.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Frenos,Balatas de Freno,balatas-freno,Juegos de zapatas de freno traseras con forro de alta resistencia al calor.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Frenos,Tambores de Freno,tambor-freno,Tambores traseros de fundición gris equilibrados dinámicamente.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Frenos,Cilindro de Rueda / Freno Trasero,cilindro-freno,Cilindros receptores traseros con pistones de aluminio anodizado.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Carrocería & Eléctrico,Ópticos y Focos,opticos-focos,Faros delanteros ópticos principales y focos traseros de alta durabilidad.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Carrocería & Eléctrico,Kit de Ampolletas Halógenas / LED,ampolletas,"Ampolletas H4, H7, H11 en tecnología halógena de alto rendimiento y LED Canbus.",Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Carrocería & Eléctrico,Alternador de Alto Amperaje,alternador,Alternadores de 110A a 150A con regulador electrónico incorporado.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Carrocería & Eléctrico,Motor de Partida / Arranque Reforzado,motor-partida,Motores de arranque con sistema de reducción planetaria de alto torque.,Disponible
Maxus,T90,2023-2024,Pickup Bi-Turbo,Carrocería & Eléctrico,Sensor de Velocidad ABS,sensor-abs,Sensores de velocidad de rueda ABS de alta precisión magnética.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Motor & Distribución,Kit de Distribución Completo,kit-distribucion,"Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía.",Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Motor & Distribución,Bomba de Agua Refrigeración,bomba-agua,Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Motor & Distribución,Empaquetaduras de Motor,empaquetaduras,"Juegos de empaquetaduras de culata multilámina, múltiple de admisión/escape y tapa de válvulas.",Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Motor & Distribución,Correa de Accesorios Poly-V,correa-accesorios,"Correas Poly-V estriadas de alta durabilidad para alternador, bomba de dirección y compresor A/C.",Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Motor & Distribución,Tensor de Correa Automático,tensor-correa,Tensor automático con amortiguación hidráulica interna y polea termoplástica.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Motor & Distribución,Polea de Guía y Desvío,polea-guia,Poleas locas y de desvío con rodamientos sellados de doble hilera de bolas.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Filtro de Aceite Blindado,filtro-aceite,Filtro de aceite con válvula antidrenaje y papel filtrante de microfibra sintética.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Filtro de Aire Motor,filtro-aire,Filtro de aire con plisado de alta densidad para máxima retención de partículas.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Filtro de Petróleo / Diésel,filtro-petroleo,Filtro de combustible con separador de agua para sistemas common rail.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Filtro de Polen / Habitáculo,filtro-habitaculo,Filtro de polen con capa de carbón activado antibacteriano.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Aceites de Motor 5W-30 / 5W-40,aceite-5w30,Aceite de motor 100% sintético con especificación ACEA C2/C3 para motores con DPF.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Refrigerantes 50/50 OAT,refrigerantes,Líquido refrigerante / anticongelante de larga duración orgánico premezclado.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Aditivos para Diésel y Motor,aditivos,"Tratamientos para sistema de inyección diésel, limpiadores y mejoradores de cetano.",Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Aceite de Transmisión 75W-90 GL-5,aceite-transmision,"Aceite sintético para transmisiones manuales, diferenciales y cajas de transferencia.",Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Filtros & Lubricantes,Desengrasantes Mecánicos,desengrasante,Desengrasante de alta potencia para limpieza de motor y componentes mecánicos.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Suspensión & Dirección,Bandeja de Suspensión Delantera,bandeja-suspension,Bandejas de suspensión superior e inferior con bujes vulcanizados y rótula prensada.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Suspensión & Dirección,Rótulas de Suspensión Reforzadas,rotula,Rótulas de acero forjado con guardapolvo de poliuretano.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Suspensión & Dirección,Terminales y Axiales de Dirección,terminal-direccion,Terminales exteriores e interiores con rosca de precisión milimétrica.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Suspensión & Dirección,Cremallera de Dirección Hidráulica,cremallera,Cremalleras de dirección hidráulica y electroasistida completas.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Suspensión & Dirección,Amortiguadores Delanteros y Traseros,amortiguador,Amortiguadores a gas nitrógeno bitubo de respuesta progresiva.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Embrague & Transmisión,Kit de Embrague Reforzado,kit-embrague,Kit de embrague completo con prensa de diafragma templado y disco orgánico.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Embrague & Transmisión,Disco de Embrague de Repuesto,disco-embrague,Disco de embrague con forro de alta fricción y resortes amortiguadores dobles.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Embrague & Transmisión,Rodamiento de Empuje / Collarín Hidráulico,rodamiento-empuje,Rodamiento de empuje mecánico y collarines hidráulicos concéntricos.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Embrague & Transmisión,Cruceta de Cardán y Transmisión,cruceta-cardan,Crucetas de cardán con grasera de engrase y sellos laberinto de triple labio.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Frenos,Pastillas de Freno Cerámicas Delanteras,pastillas-freno,Pastillas de formulación cerámica de bajo polvo y alto coeficiente de fricción.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Frenos,Discos de Freno Ventilados,discos-freno,Discos de freno ventilados con aleación de alto contenido de carbono.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Frenos,Bombas de Freno,bomba-freno,Cilindro maestro de freno de doble circuito con depósito de líquido.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Frenos,Balatas de Freno,balatas-freno,Juegos de zapatas de freno traseras con forro de alta resistencia al calor.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Frenos,Tambores de Freno,tambor-freno,Tambores traseros de fundición gris equilibrados dinámicamente.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Frenos,Cilindro de Rueda / Freno Trasero,cilindro-freno,Cilindros receptores traseros con pistones de aluminio anodizado.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Carrocería & Eléctrico,Ópticos y Focos,opticos-focos,Faros delanteros ópticos principales y focos traseros de alta durabilidad.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Carrocería & Eléctrico,Kit de Ampolletas Halógenas / LED,ampolletas,"Ampolletas H4, H7, H11 en tecnología halógena de alto rendimiento y LED Canbus.",Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Carrocería & Eléctrico,Alternador de Alto Amperaje,alternador,Alternadores de 110A a 150A con regulador electrónico incorporado.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Carrocería & Eléctrico,Motor de Partida / Arranque Reforzado,motor-partida,Motores de arranque con sistema de reducción planetaria de alto torque.,Disponible
Maxus,V80,2015-2024,Furgón Cargo / Pasajeros,Carrocería & Eléctrico,Sensor de Velocidad ABS,sensor-abs,Sensores de velocidad de rueda ABS de alta precisión magnética.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Motor & Distribución,Kit de Distribución Completo,kit-distribucion,"Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía.",Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Motor & Distribución,Bomba de Agua Refrigeración,bomba-agua,Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Motor & Distribución,Empaquetaduras de Motor,empaquetaduras,"Juegos de empaquetaduras de culata multilámina, múltiple de admisión/escape y tapa de válvulas.",Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Motor & Distribución,Correa de Accesorios Poly-V,correa-accesorios,"Correas Poly-V estriadas de alta durabilidad para alternador, bomba de dirección y compresor A/C.",Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Motor & Distribución,Tensor de Correa Automático,tensor-correa,Tensor automático con amortiguación hidráulica interna y polea termoplástica.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Motor & Distribución,Polea de Guía y Desvío,polea-guia,Poleas locas y de desvío con rodamientos sellados de doble hilera de bolas.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Filtro de Aceite Blindado,filtro-aceite,Filtro de aceite con válvula antidrenaje y papel filtrante de microfibra sintética.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Filtro de Aire Motor,filtro-aire,Filtro de aire con plisado de alta densidad para máxima retención de partículas.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Filtro de Petróleo / Diésel,filtro-petroleo,Filtro de combustible con separador de agua para sistemas common rail.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Filtro de Polen / Habitáculo,filtro-habitaculo,Filtro de polen con capa de carbón activado antibacteriano.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Aceites de Motor 5W-30 / 5W-40,aceite-5w30,Aceite de motor 100% sintético con especificación ACEA C2/C3 para motores con DPF.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Refrigerantes 50/50 OAT,refrigerantes,Líquido refrigerante / anticongelante de larga duración orgánico premezclado.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Aditivos para Diésel y Motor,aditivos,"Tratamientos para sistema de inyección diésel, limpiadores y mejoradores de cetano.",Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Aceite de Transmisión 75W-90 GL-5,aceite-transmision,"Aceite sintético para transmisiones manuales, diferenciales y cajas de transferencia.",Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Filtros & Lubricantes,Desengrasantes Mecánicos,desengrasante,Desengrasante de alta potencia para limpieza de motor y componentes mecánicos.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Suspensión & Dirección,Bandeja de Suspensión Delantera,bandeja-suspension,Bandejas de suspensión superior e inferior con bujes vulcanizados y rótula prensada.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Suspensión & Dirección,Rótulas de Suspensión Reforzadas,rotula,Rótulas de acero forjado con guardapolvo de poliuretano.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Suspensión & Dirección,Terminales y Axiales de Dirección,terminal-direccion,Terminales exteriores e interiores con rosca de precisión milimétrica.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Suspensión & Dirección,Cremallera de Dirección Hidráulica,cremallera,Cremalleras de dirección hidráulica y electroasistida completas.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Suspensión & Dirección,Amortiguadores Delanteros y Traseros,amortiguador,Amortiguadores a gas nitrógeno bitubo de respuesta progresiva.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Embrague & Transmisión,Kit de Embrague Reforzado,kit-embrague,Kit de embrague completo con prensa de diafragma templado y disco orgánico.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Embrague & Transmisión,Disco de Embrague de Repuesto,disco-embrague,Disco de embrague con forro de alta fricción y resortes amortiguadores dobles.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Embrague & Transmisión,Rodamiento de Empuje / Collarín Hidráulico,rodamiento-empuje,Rodamiento de empuje mecánico y collarines hidráulicos concéntricos.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Embrague & Transmisión,Cruceta de Cardán y Transmisión,cruceta-cardan,Crucetas de cardán con grasera de engrase y sellos laberinto de triple labio.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Frenos,Pastillas de Freno Cerámicas Delanteras,pastillas-freno,Pastillas de formulación cerámica de bajo polvo y alto coeficiente de fricción.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Frenos,Discos de Freno Ventilados,discos-freno,Discos de freno ventilados con aleación de alto contenido de carbono.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Frenos,Bombas de Freno,bomba-freno,Cilindro maestro de freno de doble circuito con depósito de líquido.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Frenos,Balatas de Freno,balatas-freno,Juegos de zapatas de freno traseras con forro de alta resistencia al calor.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Frenos,Tambores de Freno,tambor-freno,Tambores traseros de fundición gris equilibrados dinámicamente.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Frenos,Cilindro de Rueda / Freno Trasero,cilindro-freno,Cilindros receptores traseros con pistones de aluminio anodizado.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Carrocería & Eléctrico,Ópticos y Focos,opticos-focos,Faros delanteros ópticos principales y focos traseros de alta durabilidad.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Carrocería & Eléctrico,Kit de Ampolletas Halógenas / LED,ampolletas,"Ampolletas H4, H7, H11 en tecnología halógena de alto rendimiento y LED Canbus.",Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Carrocería & Eléctrico,Alternador de Alto Amperaje,alternador,Alternadores de 110A a 150A con regulador electrónico incorporado.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Carrocería & Eléctrico,Motor de Partida / Arranque Reforzado,motor-partida,Motores de arranque con sistema de reducción planetaria de alto torque.,Disponible
Maxus,V90,2020-2024,Furgón Maxi Cargo,Carrocería & Eléctrico,Sensor de Velocidad ABS,sensor-abs,Sensores de velocidad de rueda ABS de alta precisión magnética.,Disponible
Maxus,G10,2015-2024,Van Pasajeros / Cargo,Motor & Distribución,Kit de Distribución Completo,kit-distribucion,"Kit completo con correa o cadena dentada de alta resistencia, tensores automáticos y poleas de guía.",Disponible
Maxus,G10,2015-2024,Van Pasajeros / Cargo,Motor & Distribución,Bomba de Agua Refrigeración,bomba-agua,Bomba de agua con rodamiento sellado y sellos cerámicos de alta eficiencia.,Disponible
